college_name,academic_year,programme,category_or_quota,annual_tuition_inr,semester_tuition_inr,full_programme_tuition_inr,admission_fee_inr,registration_fee_inr,exam_fee_inr,refundable_deposit_inr,annual_hostel_fee_inr,annual_mess_fee_inr,other_compulsory_fee_inr,calculated_four_year_cost_inr,source_id,source_page,notes
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel L,,,,,,,,114000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel M/Extension - lower option,,,,,,,,123000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel M/Extension - maximum option,,,,,,,,157000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel N - lower option,,,,,,,,123000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel N - maximum option,,,,,,,,157000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel O,,,,,,,,123000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel PG I & II - lower option,,,,,,,,114000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel PG I & II - higher option,,,,,,,,123000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel Q,,,,,,,,123000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel D,,,,,,,,123000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel FRG/FRF - lower option,,,,,,,,79000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel FRG/FRF - higher option,,,,,,,,101000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27,BE/BTech - NRI/FN category,NRI/FN,,,,,,,,,,,,SRC003,2,"Official schedule is denominated in USD: admission fee USD 500; four-year programme fee USD 40,000; annual programme fee USD 10,000 (tuition 7,700, development 2,000, other 300). Not converted to INR."
