college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,CSE,Branch-specific placement-report table,,,111,107,96.4,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),115 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,EE,Branch-specific placement-report table,,,157,137,87.26,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),149 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,ECE,Branch-specific placement-report table,,,101,91,90.1,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),96 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,Engineering Physics,Branch-specific placement-report table,,,35,18,51.43,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),18 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,Production & Industrial Engineering,Branch-specific placement-report table,,,50,32,64.0,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),33 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,ME,Branch-specific placement-report table,,,145,112,77.24,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),126 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,Metallurgy & Materials,Branch-specific placement-report table,,,56,18,32.14,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),19 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,Architecture,Branch-specific placement-report table,,,17,9,52.94,,,,,,,,,,Institute annual report,S011,Placement branch table,9 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,BSBE,Branch-specific placement-report table,,,26,12,46.15,,,,,,,,,,Institute annual report,S011,Placement branch table,12 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,CHE,Branch-specific placement-report table,,,105,80,76.19,,,,,,,,,,Institute annual report,S011,Placement branch table,81 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,CE,Branch-specific placement-report table,,,152,103,67.76,,,,,,,,,,Institute annual report,S011,Placement branch table,108 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,CSE,Branch-specific placement-report table,,,117,116,99.15,,,,,,,,,,Institute annual report,S011,Placement branch table,130 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,EE,Branch-specific placement-report table,,,163,131,80.37,,,,,,,,,,Institute annual report,S011,Placement branch table,132 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,ECE,Branch-specific placement-report table,,,116,102,87.93,,,,,,,,,,Institute annual report,S011,Placement branch table,106 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,Engineering Physics,Branch-specific placement-report table,,,36,12,33.33,,,,,,,,,,Institute annual report,S011,Placement branch table,12 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,Production & Industrial Engineering,Branch-specific placement-report table,,,54,29,53.7,,,,,,,,,,Institute annual report,S011,Placement branch table,31 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,ME,Branch-specific placement-report table,,,142,103,72.54,,,,,,,,,,Institute annual report,S011,Placement branch table,113 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,Metallurgy & Materials,Branch-specific placement-report table,,,80,44,55.0,,,,,,,,,,Institute annual report,S011,Placement branch table,46 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2023-24,B.Tech./B.Arch.,Polymer Science and Engineering,Branch-specific placement-report table,,,25,10,40.0,,,,,,,,,,Institute annual report,S011,Placement branch table,10 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,Architecture,Branch-specific placement-report table,,,24,10,41.67,,,,,,,,,,Institute annual report,S012,Placement branch table,10 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,BSBE,Branch-specific placement-report table,,,19,14,73.68,,,,,,,,,,Institute annual report,S012,Placement branch table,14 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,CHE,Branch-specific placement-report table,,,90,85,94.44,,,,,,,,,,Institute annual report,S012,Placement branch table,92 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,CE,Branch-specific placement-report table,,,125,105,84.0,,,,,,,,,,Institute annual report,S012,Placement branch table,111 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,CSE,Branch-specific placement-report table,,,98,96,97.96,,,,,,,,,,Institute annual report,S012,Placement branch table,111 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,EE,Branch-specific placement-report table,,,136,123,90.44,,,,,,,,,,Institute annual report,S012,Placement branch table,140 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,ECE,Branch-specific placement-report table,,,92,86,93.48,,,,,,,,,,Institute annual report,S012,Placement branch table,101 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,Engineering Physics,Branch-specific placement-report table,,,24,19,79.17,,,,,,,,,,Institute annual report,S012,Placement branch table,24 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,Production & Industrial Engineering,Branch-specific placement-report table,,,47,41,87.23,,,,,,,,,,Institute annual report,S012,Placement branch table,48 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,ME,Branch-specific placement-report table,,,120,105,87.5,,,,,,,,,,Institute annual report,S012,Placement branch table,115 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,Metallurgy & Materials,Branch-specific placement-report table,,,62,47,75.81,,,,,,,,,,Institute annual report,S012,Placement branch table,50 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
Indian Institute of Technology Roorkee,2022-23,B.Tech./B.Arch.,Polymer Science and Engineering,Branch-specific placement-report table,,,16,11,68.75,,,,,,,,,,Institute annual report,S012,Placement branch table,12 total offers; effective placements used as students_placed. Polymer is historical and not a current 2026 entry programme.
