source_id,source_title,url,domain,source_category,source_type,confidence_level,academic_year,publication_date,accessed_date,data_categories,college_campus,notes
S011,IIT Roorkee Annual Report 2023-24,https://iitr.ac.in/Careers/static/Institute/Annual_Reports/2023-2024/AnnualReportEnglishVersion2023-24.pdf,iitr.ac.in,Tier B — official institution,Official annual report PDF,B,2023-24,,2026-06-26,placements; internships; PPOs; facilities,"IIT Roorkee main campus, Roorkee, Uttarakhand",Detailed placement tables retained with scope notes.
S012,IIT Roorkee Annual Report 2022-23,https://iitr.ac.in/Careers/static/Institute/Annual_Reports/2022-2023/AnnualReportEnglishVersion2022-23.pdf,iitr.ac.in,Tier B — official institution,Official annual report PDF,B,2022-23,,2026-06-26,placements; internships; PPOs; facilities,"IIT Roorkee main campus, Roorkee, Uttarakhand",Detailed placement tables retained with scope notes.
S013,NIRF 2025 Institution Submission — IIT Roorkee Engineering,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/Engineering/IR-E-U-0560.pdf,nirfindia.org,Tier A — government dataset,Institution-submitted NIRF PDF,A,2025,,2026-06-26,graduating outcomes; median salary; higher studies,"IIT Roorkee main campus, Roorkee, Uttarakhand",NIRF cohort outcomes kept separate from placement-cell registration data.
S014,IIT Roorkee Annual Reports index,https://iitr.ac.in/Institute/Annual_Reports_Of_IIT_Roorkee.html,iitr.ac.in,Tier B — official institution,Official annual-report index,B,current,,2026-06-26,source discovery; latest-year confirmation,"IIT Roorkee main campus, Roorkee, Uttarakhand",Confirms annual-report provenance.
S015,IIT Roorkee Hostel Life,https://iitr.ac.in/Campus%20Life/Hostel%20Life.html,iitr.ac.in,Tier B — official institution,Official hostel page,B,current,,2026-06-26,hostels; Wi-Fi; mess; campus life,"IIT Roorkee main campus, Roorkee, Uttarakhand",Official facilities description; quality not inferred.
S016,IIT Roorkee Campus Life and Facilities,https://www.iitr.ac.in/Campus%20Life/,iitr.ac.in,Tier B — official institution,Official campus-life page,B,current,,2026-06-26,facilities; sports; clubs; healthcare; services,"IIT Roorkee main campus, Roorkee, Uttarakhand",Institution-published facilities.
S017,IIT Roorkee Clubs,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,iitr.ac.in,Tier C — institution-associated,Official student-club directory,C,current,,2026-06-26,clubs; student activities,"IIT Roorkee main campus, Roorkee, Uttarakhand",Static listing; activity status checked conservatively.
S018,IIT Roorkee Student Groups,https://www.iitr.ac.in/Campus%20Life/Student%20Groups/index.html,iitr.ac.in,Tier C — institution-associated,Official student-group directory,C,current,,2026-06-26,student groups; clubs,"IIT Roorkee main campus, Roorkee, Uttarakhand",Institution-associated directory.
S019,Placement and Internship Cell IIT Roorkee,https://pic.iitr.ac.in/,pic.iitr.ac.in,Tier C — institution-associated,Official placement-cell site,C,current,,2026-06-26,placements; internships; recruiter engagement,"IIT Roorkee main campus, Roorkee, Uttarakhand",Company-specific public outcomes remain limited.
S020,IIT Roorkee Scholarship and Awards portal,https://iitr.ac.in/SCSP/,iitr.ac.in,Tier B — official institution,Official scholarship portal,B,2026-27,,2026-06-26,scholarships; fee waiver; awards,"IIT Roorkee main campus, Roorkee, Uttarakhand",Current notice-level eligibility must be rechecked.
S021,IIT Roorkee Tuition Fee Waiver Scheme 2026-27,https://iitr.ac.in/SCSP/Schemes/TUITION%20FEE%20WAIVER%20SCHEME.html,iitr.ac.in,Tier B — official institution,Official scheme page,B,2026-27,,2026-06-26,tuition waiver; deadline,"IIT Roorkee main campus, Roorkee, Uttarakhand","Page stated application deadline June 20, 2026."
S022,National Scholarship Portal,https://scholarships.gov.in/,scholarships.gov.in,Tier A — government portal,Official scholarship portal,A,2026-27,,2026-06-26,central scholarships; applications,"IIT Roorkee main campus, Roorkee, Uttarakhand",Scheme matching and deadlines must be checked live.
S023,IIT Roorkee Healthcare,https://iitr.ac.in/Campus%20Life/Healthcare.html,iitr.ac.in,Tier B — official institution,Official healthcare page,B,current,,2026-06-26,hospital; ambulance; counselling,"IIT Roorkee main campus, Roorkee, Uttarakhand",Institution-published services.
S024,IIT Roorkee Sports,https://iitr.ac.in/Campus%20Life/Sports/index.html,iitr.ac.in,Tier B — official institution,Official sports page,B,current,,2026-06-26,campus area; sports facilities,"IIT Roorkee main campus, Roorkee, Uttarakhand",Official sports/facilities description; page references a roughly 350-acre campus.
S025,Information Management Group IIT Roorkee,https://iitr.ac.in/Campus%20Life/Student%20Groups/Information%20Management%20Group.html,iitr.ac.in,Tier C — institution-associated,Official student-group page,C,current,,2026-06-26,club activity; technology culture,"IIT Roorkee main campus, Roorkee, Uttarakhand",Institution-associated.
S026,Himalayan Explorers Club IIT Roorkee,https://www.iitr.ac.in/hec/,iitr.ac.in,Tier C — institution-associated,Official club page,C,current,,2026-06-26,outdoor activities; club culture,"IIT Roorkee main campus, Roorkee, Uttarakhand",Institution-associated.
S027,Fine Arts Section IIT Roorkee,https://finearts.iitr.ac.in/,finearts.iitr.ac.in,Tier C — institution-associated,Official club page,C,current,,2026-06-26,fine arts; student activity,"IIT Roorkee main campus, Roorkee, Uttarakhand",Institution-associated.
S028,SPIC MACAY IIT Roorkee,https://www.iitr.ac.in/spicmacay/,iitr.ac.in,Tier C — institution-associated,Official club page,C,current,,2026-06-26,culture; classical arts,"IIT Roorkee main campus, Roorkee, Uttarakhand",Institution-associated.
S029,Watch Out! IIT Roorkee — About,https://watchout.iitr.ac.in/about/,watchout.iitr.ac.in,Tier C — institution-associated student media,Official student-media page,C,current,,2026-06-26,student media; qualitative evidence,"IIT Roorkee main campus, Roorkee, Uttarakhand",Student-run media; not independent official fact evidence.
S030,Watch Out! — The Freshman Guide,https://watchout.iitr.ac.in/2025/07/the-freshman-guide,watchout.iitr.ac.in,Tier C — student experience,Student-media guide,E,2025,,2026-06-26,freshers; hostels; campus navigation; clubs,"IIT Roorkee main campus, Roorkee, Uttarakhand",Useful qualitative orientation; possible student-media selection bias.
S031,Watch Out! — Academic Report Card,https://watchout.iitr.ac.in/2023/02/acad-report-card,watchout.iitr.ac.in,Tier C — student experience,Student-media report,E,2023,,2026-06-26,academic culture; workload; administration,"IIT Roorkee main campus, Roorkee, Uttarakhand",Qualitative evidence only.
S032,Watch Out! — Work in Progress: Himalaya Bhawan,https://watchout.iitr.ac.in/2023/05/work-in-progress,watchout.iitr.ac.in,Tier C — student experience,Student-media infrastructure report,E,2023,,2026-06-26,hostel condition; construction; facilities,"IIT Roorkee main campus, Roorkee, Uttarakhand",Historical hostel evidence; may not reflect 2026.
S033,Watch Out! — Best They Doing?,https://watchout.iitr.ac.in/2023/05/best-they-doing,watchout.iitr.ac.in,Tier C — student experience,Student-media report,E,2023,,2026-06-26,Wi-Fi; hostel rules; gendered access,"IIT Roorkee main campus, Roorkee, Uttarakhand",Qualitative and time-sensitive.
S034,Watch Out! — Internship Diary,https://watchout.iitr.ac.in/2025/07/intern-diary-ayush-p,watchout.iitr.ac.in,Tier C — student experience,Student internship account,E,2025,,2026-06-26,internships; preparation; peer culture,"IIT Roorkee main campus, Roorkee, Uttarakhand",One first-person account; not generalised.
S035,Watch Out! — Inter IIT Tech Meet 14.0,https://watchout.iitr.ac.in/2026/05/inter-iit-techmeet-14,watchout.iitr.ac.in,Tier C — student experience,Student-media report,E,2026,,2026-06-26,technical teams; competitions; selection,"IIT Roorkee main campus, Roorkee, Uttarakhand",Recent but institution-associated.
S036,Watch Out! — Culture Vulture,https://watchout.iitr.ac.in/2022/05/culture-vulture,watchout.iitr.ac.in,Tier C — student experience,Student-media feature,E,2022,,2026-06-26,cultural life; clubs; post-pandemic activity,"IIT Roorkee main campus, Roorkee, Uttarakhand",Older evidence; limited current weight.
S037,Watch Out! — Placement coverage archive,https://watchout.iitr.ac.in/category/bigstory/,watchout.iitr.ac.in,Tier C — student experience,Student-media archive,E,2024-25,,2026-06-26,placement process; student concerns,"IIT Roorkee main campus, Roorkee, Uttarakhand",Qualitative placement-process evidence; official figures come from annual reports.
S038,OpenStreetMap search — IIT Roorkee,https://www.openstreetmap.org/search?query=IIT%20Roorkee,openstreetmap.org,Calculated/map-derived,Public map,F,current,,2026-06-26,coordinates; local distances; travel estimates,"IIT Roorkee main campus, Roorkee, Uttarakhand",Approximate values; routes vary.
